date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:41	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%226697ac3f-18%22	https://recargajogo.com.br/robots.txt		(from )
21:01:41	4983/4983	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202024%2000:41:38%20GMT	https://recargajogo.com.br/	C:/Meus%20Sites/free%20fire/recargajogo.com.br/index.html	(from )
21:01:43	107875/107875	---MCZ	200	added ('OK')	text/javascript	etag:W/%2272d47e2602ac7f7e7512b2e3e08a72aa%22	https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/polyfills-1a3ad023.js	C:/Meus%20Sites/free%20fire/cdn-gop.garenanow.com/gop/mshop/www/live/assets/polyfills-1a3ad023.js	(from https://recargajogo.com.br/)
21:01:44	172118/172118	---MCZ	200	added ('OK')	text/javascript	etag:W/%2286b848e45746db7159d1fbb589ce0f3f%22	https://dd.garena.com/tags.js	C:/Meus%20Sites/free%20fire/dd.garena.com/tags.js	(from https://recargajogo.com.br/)
21:01:44	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2024%20Oct%202024%2000:41:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/free%20fire/www.googletagmanager.com/gtm.25445.delayed	(from https://recargajogo.com.br/)
21:01:45	467311/467311	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c68eadb73bd15b2790bf005acd26bb51%22	https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/index-b47ee516.js	C:/Meus%20Sites/free%20fire/cdn-gop.garenanow.com/gop/mshop/www/live/assets/index-b47ee516.js	(from https://recargajogo.com.br/)
21:01:46	142499/142499	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ea1c16f2dc288a267409df1e13bb5177%22	https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/react-31beb1fc.js	C:/Meus%20Sites/free%20fire/cdn-gop.garenanow.com/gop/mshop/www/live/assets/react-31beb1fc.js	(from https://recargajogo.com.br/)
21:01:47	245834/245834	---MCZ	200	added ('OK')	text/javascript	etag:W/%225044cdbb3a56c162b36cdc91dbd0c9c1%22	https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/images-9457fa70.js	C:/Meus%20Sites/free%20fire/cdn-gop.garenanow.com/gop/mshop/www/live/assets/images-9457fa70.js	(from https://recargajogo.com.br/)
21:01:47	91799/91799	---MCZ	200	added ('OK')	text/css	etag:W/%22446458902aaa39358947b5299e42f4fc%22	https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/style-42997c0f.css	C:/Meus%20Sites/free%20fire/cdn-gop.garenanow.com/gop/mshop/www/live/assets/style-42997c0f.css	(from https://recargajogo.com.br/)
21:01:48	49532/49532	---MCZ	200	added ('OK')	text/javascript	etag:W/%2293e3b481575117a869f2c2ba441fb967%22	https://cdn-gop.garenanow.com/gop/mshop/www/live/static/lib/analytic.418162b0.iife.js?domain=br	C:/Meus%20Sites/free%20fire/cdn-gop.garenanow.com/gop/mshop/www/live/static/lib/analytic.418162b0.iife42d3.js	(from https://recargajogo.com.br/)
21:01:48	147273/147273	---MCZ	200	added ('OK')	text/javascript	etag:W/%220bcd5a5df76d1bf18f9d8bf159b0666c%22	https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/polyfills-legacy-fe66e52d.js	C:/Meus%20Sites/free%20fire/cdn-gop.garenanow.com/gop/mshop/www/live/assets/polyfills-legacy-fe66e52d.js	(from https://recargajogo.com.br/)
21:01:49	23852/23852	---M--	200	added ('OK')	binary/octet-stream	etag:%22904e6f24d27eb112a88836a62bbb21ab%22	https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/Metropolis-Thin-e87b67ad.woff2	C:/Meus%20Sites/free%20fire/cdn-gop.garenanow.com/gop/mshop/www/live/assets/Metropolis-Thin-e87b67ad.woff2	(from https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/style-42997c0f.css)
21:01:50	263/263	---M--	403	error ('Forbidden')	application/xml	date:Thu,%2024%20Oct%202024%2000:41:47%20GMT	https://cdn-gop.garenanow.com/robots.txt		(from https://cdn-gop.garenanow.com/gop/mshop/www/live/assets/style-42997c0f.css)
